N_PROGRAM <программа>
N_PROG_ELEMENT <элемент_программы>
N_CLASS <класс>
N_ACCESS_SPEC <спецификатор_доступа>
N_CLASS_METHOD <метод_класса>
N_CLASS_METHOD_IMPLEMENTATION <реализация_метода_класса>
N_FUNCTION <функция>
N_ARGUMENTS_LIST <список_аргументов>
N_ARGUMENT <аргумент>
N_BLOCK <блок>
N_BLOCK_ELEMENT <элемент_блока>
N_RETURN <возврат>
N_EXPRESSION <выражение>
N_OP_1 <оператор_1>
N_OP_2 <оператор_2>
N_OP_3 <оператор_3>
N_OP_4 <оператор_4>
N_OP_5 <оператор_5>
N_OP_6 <оператор_6>
N_OP_7 <оператор_7>
N_OP_8 <оператор_8>
N_OP_9 <оператор_9>
N_FUNC_CALL <вызов_функции>
N_OBJECT <объект>
N_CLASS_PROPS_DECLARATION <декларация_свойств_класса>
N_VAR_DECLARATION <декларация_переменных>
N_VAR_TYPE <тип_переменной>
N_CLASS_PROPS_LIST <список_свойств_класса>
N_VARS_LIST <список_переменных>
N_LOOP <цикл>
N_WHILE_LOOP <while-цикл>
N_DO_WHILE_LOOP <do-while-цикл>
N_FOR_LOOP <for-цикл>
N_BRANCHING <ветвление>
N_PROGRAM_R <программа_р>
N_BLOCK_ELEMENT_R <элемент_блока_р>
N_ARGUMENTS_LIST_R <список_аргументов_р>
N_CLASS_PROPS_LIST_R <список_свойств_класса_р>
N_VARS_LIST_R <список_переменных_р>
